column,description
Date,Draw date (YYYY-MM-DD)
Num1,First main ball
Num2,Second main ball
Num3,Third main ball
Num4,Fourth main ball
Num5,Fifth main ball
Powerball,Powerball number
PowerPlay,Power Play multiplier (may be blank)
Year,Calendar year
YearMonth,YYYY-MM period string
BallType,Main or Powerball (long format only)
BallNumber,Ball number value
Position,"Position: 1..5 for main, PB for Powerball (long only)"
